id,fecha_entrenamiento,mse,rmse,r2
67,2024-11-16 00:00:00.000,0.08447120392787119,0.2906393021046383,0.8079804182052612
68,2024-11-16 00:00:00.000,0.0655758560665875,0.2560778320483589,0.8509331941604614
69,2024-11-16 00:00:00.000,0.042832106773163146,0.20695919108163122,0.9026342034339905
70,2024-11-16 00:00:00.000,0.029516444531243195,0.17180350558484886,0.9329033493995667
71,2024-11-15 00:00:00.000,0.05219319365484917,0.2284582974086281,0.8813546299934387
72,2024-11-15 00:00:00.000,0.07162826137403197,0.267634566851952,0.8371748924255371
73,2024-11-15 00:00:00.000,0.08252517294615339,0.2872719494593118,0.8124040961265564
74,2024-11-15 00:00:00.000,0.07411435945666765,0.27223952588973493,0.8315235376358032
75,2024-11-15 00:00:00.000,0.0372112576139492,0.19290219701690595,0.9154115319252014
76,2024-11-15 00:00:00.000,0.07686428043281879,0.2772440809698537,0.8252724409103394
91,2024-11-27 00:00:00.000,0.027124133384909134,0.1646940599563601,0.9652076363563538
92,2024-11-27 00:00:00.000,0.017849366341084128,0.1336015207289353,0.9771044254302979
93,2024-11-27 00:00:00.000,0.04928021269303869,0.22199146986548535,0.9367878437042236
94,2024-11-27 00:00:00.000,0.01603203318444645,0.12661766537275299,0.9794355630874634
95,2024-11-27 00:00:00.000,0.05383994549014462,0.23203436273566166,0.9309390187263489
96,2024-11-27 00:00:00.000,0.06443131499349229,0.25383324249099504,0.9173533916473389
97,2024-11-27 00:00:00.000,0.01862690151482362,0.13648040707304335,0.976107120513916
98,2024-11-28 00:00:00.000,0.05706530243455027,0.2388834494780881,0.9268018007278442
99,2024-11-28 00:00:00.000,0.0474900257103756,0.21792206338591694,0.9390841126441956
100,2024-11-28 00:00:00.000,0.017691779494856737,0.13301044881834184,0.977306604385376
101,2024-11-28 00:00:00.000,0.018489662060824634,0.1359766967565569,0.9762831330299377
102,2024-11-28 00:00:00.000,0.023685523050587753,0.1539010170550791,0.9696183800697327
103,2024-11-28 00:00:00.000,0.062192432080026415,0.24938410550800227,0.920225203037262
104,2024-11-29 00:00:00.000,0.05455175857457488,0.23356317897856863,0.9300259351730347
105,2024-11-29 00:00:00.000,0.02687826002740152,0.16394590579639834,0.9655230045318604
106,2024-11-29 00:00:00.000,0.048604786217160495,0.22046493194419944,0.9376541972160339
107,2024-11-29 00:00:00.000,0.03968843114519261,0.19921955512748393,0.9490912556648254
108,2024-11-29 00:00:00.000,0.04849222343258011,0.22020949896083072,0.9377985596656799
109,2024-11-29 00:00:00.000,0.08024182178298885,0.2832698744713049,0.8970730900764465
110,2024-11-30 00:00:00.000,0.08067421895763183,0.28403207381848944,0.8965184092521667
111,2024-11-30 00:00:00.000,0.012626474686597468,0.11236758734883236,0.983803927898407
112,2024-11-30 00:00:00.000,0.04150374273646834,0.20372467385289475,0.9467628002166748
113,2024-11-30 00:00:00.000,0.04093508156333085,0.20232419915405783,0.9474921822547913
